review,insight,insight_encoded,predicted_insights,decoded_insight,decoded_predicted_insights
It was very straightforward and the garage was great. Hadn't even known about them before,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
"Easy to use, also good price.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Competitively priced and easy to use fitting centre near me who were very professional.,"['location positive', 'value for money positive', 'garage service positive']","7, 9, 5","(5, 7, 9)","['location positive', 'value for money positive', 'garage service positive']","['garage service positive', 'location positive', 'value for money positive']"
Very easy to use. I was kept up to date every step of the way. Good product at good price. Thank you.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
A very good experience and a set time booking,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
"Good price ,good fitting service at ATS cleckheaton.","['value for money positive', 'garage service positive']","9, 5","(5, 9)","['value for money positive', 'garage service positive']","['garage service positive', 'value for money positive']"
"Great choice, quick service and excellent garage for fitting",['garage service positive'],5,"(5, 6)",['garage service positive'],"['garage service positive', 'length of fitting positive']"
Best prices and fitted by local company.,"['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
Had to wait in garage for more than an hour to get fitted. Booked a time slot to avoid any wait,['ease of booking negative'],2,"(2,)",['ease of booking negative'],['ease of booking negative']
Very easy to use and good prices.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great price and service,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Quick, convenient, hassle-free. No need to phone around for prices and I'm confident I save money.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Excellent service very nice garage staff CFM NORTHAMPTON SUPERB,['garage service positive'],5,"(5,)",['garage service positive'],['garage service positive']
Good price. Quality tyres.,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Competitive price and convenient fitting in Northern Ireland.,"['garage service positive', 'value for money positive']","5, 9","(7, 9)","['garage service positive', 'value for money positive']","['location positive', 'value for money positive']"
"Miles better price than anywhere else, selection of fitting centres and methods very versatile",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],"['length of fitting positive', 'garage service negative']","6, 4","(4,)","['length of fitting positive', 'garage service negative']",['garage service negative']
Contacted to change date as original date was changed by [REDACTED],"['ease of booking negative', 'change of date negative']","2, 0","(0, 2)","['ease of booking negative', 'change of date negative']","['change of date negative', 'ease of booking negative']"
"Good choice, easy to use, great pricing",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.","['garage service positive', 'length of fitting positive']","5, 6","(6,)","['garage service positive', 'length of fitting positive']",['length of fitting positive']
Good service and price. ‘Faceless’ company,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
Great service and competitive price,['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Very pleased. Excellent price on line and then fitted locally. What’s not to like,","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
It was easy to pick the tyres I wanted at a great price. Then select a garage and time that suits you.,"['value for money positive', 'ease of booking positive']","9, 3","(3, 9)","['value for money positive', 'ease of booking positive']","['ease of booking positive', 'value for money positive']"
Excellent service and simple system for the whole process. Would recommend to all and will definitely use again.,['ease of booking positive'],3,"(3,)",['ease of booking positive'],['ease of booking positive']
New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,"['length of fitting positive', 'garage service positive']","6, 5","(5, 6)","['length of fitting positive', 'garage service positive']","['garage service positive', 'length of fitting positive']"
"Will use again. Ease of ordering on line, choice of garage, good price and pleased with service all round.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
"Never had any issues with the tyres, fitting or garages i’ve Used via [REDACTED]- easy and cost effective service.","['garage service positive', 'value for money positive']","5, 9","(5, 9)","['garage service positive', 'value for money positive']","['garage service positive', 'value for money positive']"
"The whole process is very slick, prices competitive, and the ratings of nearby fitters helpful to choose who to use. I have used [REDACTED] for a number of years now and never been let down.","['location positive', 'value for money positive']","7, 9","(7, 9)","['location positive', 'value for money positive']","['location positive', 'value for money positive']"
"Reliable. Fast, reliable and with excellent prices.",['value for money positive'],9,"(9,)",['value for money positive'],['value for money positive']
